De célsius para Fahrenheit
Em célsius = 0 | Em Fahrenheit = 32.0
Em célsius = 10 | Em Fahrenheit = 50.0
Em célsius = 20 | Em Fahrenheit = 68.0
Em célsius = 30 | Em Fahrenheit = 86.0
Em célsius = 40 | Em Fahrenheit = 104.0
Em célsius = 50 | Em Fahrenheit = 122.0
Em célsius = 60 | Em Fahrenheit = 140.0
Em célsius = 70 | Em Fahrenheit = 158.0
Em célsius = 80 | Em Fahrenheit = 176.0
Em célsius = 90 | Em Fahrenheit = 194.0
Em célsius = 100 | Em Fahrenheit = 212.0
Em célsius = 110 | Em Fahrenheit = 230.0
Em célsius = 120 | Em Fahrenheit = 248.0
Em célsius = 130 | Em Fahrenheit = 266.0
Em célsius = 140 | Em Fahrenheit = 284.0
Em célsius = 150 | Em Fahrenheit = 302.0
Em célsius = 160 | Em Fahrenheit = 320.0
Em célsius = 170 | Em Fahrenheit = 338.0
Em célsius = 180 | Em Fahrenheit = 356.0
Em célsius = 190 | Em Fahrenheit = 374.0
Em célsius = 200 | Em Fahrenheit = 392.0
Em célsius = 210 | Em Fahrenheit = 410.0
Em célsius = 220 | Em Fahrenheit = 428.0
Em célsius = 230 | Em Fahrenheit = 446.0
Em célsius = 240 | Em Fahrenheit = 464.0
Em célsius = 250 | Em Fahrenheit = 482.0
Em célsius = 260 | Em Fahrenheit = 500.0
Em célsius = 270 | Em Fahrenheit = 518.0
Em célsius = 280 | Em Fahrenheit = 536.0
Em célsius = 290 | Em Fahrenheit = 554.0
Em célsius = 300 | Em Fahrenheit = 572.0
